Np,L,sigma_rw,resample,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi
100000,16,0.15,every,21,6-11,2.463448,2.435412288048224,2.056569404843394,2.88697223981787,16145.720016,16150.085399120682,13861.667389853998,19093.579647181396
100000,16,0.15,every,21,12-17,1.667356,1.6511945401377606,1.4117318782953268,1.9498254493398754,2266.211961,2267.063962919985,1935.3506626156504,2666.6780157128214
100000,16,0.15,every,21,18-44,0.8342,0.8252647878289794,0.7210969950783711,0.9542736130984355,6674.335155,6683.424002971216,5724.524619812568,7895.5148107311325
100000,16,0.15,every,21,45-64,0.694499,0.6884196441076841,0.601336014737942,0.7923176871028431,1755.387594,1752.7480804329152,1498.3358747079492,2076.417820944029
100000,16,0.15,every,21,65+,0.56283,0.5582924863409455,0.49218853901106757,0.6349091725707104,327.052749,327.3855415923481,278.6380561368476,386.31474516583967
100000,16,0.15,every,22,0-5,1.528579,1.5128551991534103,1.2917950421162208,1.7708216659330034,2878.956344,2887.3858151094573,2464.967990906367,3380.5378396917804
100000,16,0.15,every,22,6-11,2.453554,2.424381820811372,2.0482951623640346,2.870867303299274,19506.770976,19475.99805913915,16821.523929894058,22999.357074667598
100000,16,0.15,every,22,12-17,1.675512,1.6618141658341123,1.4183693237822355,1.9508499168700488,2772.190309,2766.107128727368,2365.723213990581,3278.7890340439662
100000,16,0.15,every,22,18-44,0.838535,0.8316949345745024,0.7251654642943139,0.9569293646233591,8195.610922,8217.781711146054,7044.430822885624,9661.969288243534
100000,16,0.15,every,22,45-64,0.699454,0.6946673973085766,0.6061675150306935,0.7975357076667186,2160.488931,2159.3460977489885,1837.3080349075644,2538.256031607798
100000,16,0.15,every,22,65+,0.566857,0.563262790908517,0.49644485825419116,0.6398503851399202,401.882688,401.9883397435751,343.93854061081765,473.29806803926294
100000,16,0.15,every,23,0-5,1.532962,1.5169506252355147,1.2931749914968482,1.7773820849660067,3496.926404,3509.738098264206,2996.0062144706826,4107.954473131871
100000,16,0.15,every,23,6-11,2.439441,2.4138236187273727,2.035534493252045,2.8711636501696347,23483.816704,23454.406742461724,20191.414311883942,27737.789795002725
100000,16,0.15,every,23,12-17,1.682849,1.6682683771444111,1.4312432743773595,1.9415304635806794,3392.32232,3390.639271681146,2898.040375656178,4038.2853319952337
100000,16,0.15,every,23,18-44,0.842399,0.8348986067371147,0.7278074207533163,0.9624060179464788,10058.451204,10088.089181842108,8574.155442151074,11811.313569085978
100000,16,0.15,every,23,45-64,0.704184,0.6988732372168209,0.6100097155598379,0.8022773768649518,2659.369155,2659.066954588945,2276.2323793519245,3121.926739100065
100000,16,0.15,every,23,65+,0.570717,0.5668703484406934,0.4995041300043951,0.6433868730597855,493.862942,494.46634311036405,422.61563980483515,578.4362300211023
100000,16,0.15,every,24,0-5,1.536191,1.518483372539264,1.29636288367164,1.778809941153133,4247.53248,4258.844798787271,3650.376443714311,4997.578930972097
100000,16,0.15,every,24,6-11,2.420485,2.379703794018412,2.0167621423424853,2.8132214699832696,28146.510063,28201.416365515353,24181.110908559524,33346.48328396975
100000,16,0.15,every,24,12-17,1.68922,1.6689024288629286,1.4338782524423987,1.9559065957180892,4149.798326,4148.847099927996,3530.576288508193,4910.877440693657
100000,16,0.15,every,24,18-44,0.84571,0.8369440115675392,0.727202385675976,0.9679836681804238,12329.995522,12392.172693958106,10543.721630761378,14509.293674785957
100000,16,0.15,every,24,45-64,0.708641,0.7026826349307469,0.6111832060881839,0.8086370197253125,3271.66235,3278.923182958726,2801.903546041345,3844.0644038122336
100000,16,0.15,every,24,65+,0.574373,0.5696020301795113,0.5005520081895665,0.6484445293582036,606.524284,607.463627117093,519.1043674747084,714.8482515207825
100000,16,0.15,every,25,0-5,1.538076,1.5162664179049248,1.2952159026233223,1.7829380737785154,5154.156091,5166.723294362677,4429.420005590633,6086.340947977653
100000,16,0.15,every,25,6-11,2.396044,2.3464473442361635,1.984605191158323,2.756816261884641,33551.219506,33603.47521045542,28897.294646000286,39622.28751403166
100000,16,0.15,every,25,12-17,1.694459,1.6737731209324702,1.4359475293500872,1.9716202917756527,5071.091004,5067.921935659066,4341.422920323748,5965.75337466432
