weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,14,0-5,1.468566,1.7016218064023905,1.7016218064023905,1.7016218064023905,693.114377,606.5592008200911,606.5592008200911,606.5592008200911,547
Poisson,14,6-11,2.456486,2.302233209477317,2.302233209477317,2.302233209477317,4082.728327,2276.632496858856,2276.632496858856,2276.632496858856,4035
Poisson,14,12-17,1.596151,1.642185776930672,1.642185776930672,1.642185776930672,589.785973,576.2289554857507,576.2289554857507,576.2289554857507,592
Poisson,14,18-44,0.796023,0.8218785189793221,0.8218785189793221,0.8218785189793221,1652.533292,1563.6395936960653,1563.6395936960653,1563.6395936960653,1291
Poisson,14,45-64,0.656485,0.6963879036576707,0.6963879036576707,0.6963879036576707,436.643561,431.6980735284892,431.6980735284892,431.6980735284892,390
Poisson,14,65+,0.532333,0.6084933317148826,0.6084933317148826,0.6084933317148826,82.893616,83.77262458324321,83.77262458324321,83.77262458324321,110
Poisson,15,0-5,1.47758,2.2129597601130344,2.2129597601130344,2.2129597601130344,807.946377,723.6812616081197,723.6812616081197,723.6812616081197,937
Poisson,15,6-11,2.462969,3.934663620487431,3.934663620487431,3.934663620487431,4983.241971,2719.426456535395,2719.426456535395,2719.426456535395,5328
Poisson,15,12-17,1.607303,2.049633380082158,2.049633380082158,2.049633380082158,706.636978,659.8409526181454,659.8409526181454,659.8409526181454,545
Poisson,15,18-44,0.801986,1.1362468567951602,1.1362468567951602,1.1362468567951602,1998.026374,1725.3706498781303,1725.3706498781303,1725.3706498781303,1586
Poisson,15,45-64,0.662089,0.9036125193359646,0.9036125193359646,0.9036125193359646,525.977613,511.7393830541232,511.7393830541232,511.7393830541232,626
Poisson,15,65+,0.536789,0.7593855737606019,0.7593855737606019,0.7593855737606019,99.286285,105.23922025602394,105.23922025602394,105.23922025602394,114
Poisson,16,0-5,1.486304,2.946283687242579,2.946283687242579,2.946283687242579,951.197058,948.969410935264,948.969410935264,948.969410935264,1381
Poisson,16,6-11,2.468122,6.96548287260484,6.96548287260484,6.96548287260484,6078.81127,4452.186061360248,4452.186061360248,4452.186061360248,6047
Poisson,16,12-17,1.618224,2.4360452331527385,2.4360452331527385,2.4360452331527385,850.860069,789.6718740604888,789.6718740604888,789.6718740604888,968
Poisson,16,18-44,0.80784,1.4745474752105412,1.4745474752105412,1.4745474752105412,2426.872612,2069.3333153417025,2069.3333153417025,2069.3333153417025,3033
Poisson,16,45-64,0.66767,1.0381766013983718,1.0381766013983718,1.0381766013983718,637.364016,602.7087537330112,602.7087537330112,602.7087537330112,483
Poisson,16,65+,0.541239,0.8554079625938229,0.8554079625938229,0.8554079625938229,119.873309,127.80390115402724,127.80390115402724,127.80390115402724,112
Poisson,17,0-5,1.494685,1.9993518899375435,1.9993518899375435,1.9993518899375435,1129.277698,1353.0854752200012,1353.0854752200012,1353.0854752200012,1075
Poisson,17,6-11,2.471696,3.781570223906106,3.781570223906106,3.781570223906106,7409.847775,8819.151409166494,8819.151409166494,8819.151409166494,6226
Poisson,17,12-17,1.628868,1.9436547711904129,1.9436547711904129,1.9436547711904129,1028.921606,1005.4793323349977,1005.4793323349977,1005.4793323349977,945
Poisson,17,18-44,0.813555,0.9026326165976881,0.9026326165976881,0.9026326165976881,2958.553836,2644.3454101662137,2644.3454101662137,2644.3454101662137,2038
Poisson,17,45-64,0.673209,0.7025351821820468,0.7025351821820468,0.7025351821820468,776.000016,715.7140978402904,715.7140978402904,715.7140978402904,739
Poisson,17,65+,0.54567,0.5940735700233486,0.5940735700233486,0.5940735700233486,145.575978,155.314686279336,155.314686279336,155.314686279336,130
Poisson,18,0-5,1.502654,1.0758769721423913,1.0758769721423913,1.0758769721423913,1350.001486,1873.2930990498808,1873.2930990498808,1873.2930990498808,1562
Poisson,18,6-11,2.473394,2.031539697864567,2.031539697864567,2.031539697864567,9023.720946,13705.746227686534,13705.746227686534,13705.746227686534,7951
