weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,12,0-5,1.449854,1.6252411558226028,1.6252411558226028,1.6252411558226028,528.737681,568.8480284738766,568.8480284738766,568.8480284738766,568
Poisson,12,6-11,2.44033,3.368160058595001,3.368160058595001,3.368160058595001,2736.019,3010.75755919933,3010.75755919933,3010.75755919933,3334
Poisson,12,12-17,1.573314,1.2753983134291862,1.2753983134291862,1.2753983134291862,418.153866,390.5222077517392,390.5222077517392,390.5222077517392,294
Poisson,12,18-44,0.783872,0.8364426036013339,0.8364426036013339,0.8364426036013339,1151.272675,1193.9520411253816,1193.9520411253816,1193.9520411253816,1072
Poisson,12,45-64,0.645262,0.645298077151428,0.645298077151428,0.645298077151428,308.236594,243.25139552924566,243.25139552924566,243.25139552924566,206
Poisson,12,65+,0.523452,0.5421129291330552,0.5421129291330552,0.5421129291330552,59.98351,50.01704336786827,50.01704336786827,50.01704336786827,33
Poisson,13,0-5,1.459311,1.274639072869814,1.274639072869814,1.274639072869814,601.464871,663.1989765191693,663.1989765191693,663.1989765191693,782
Poisson,13,6-11,2.448882,2.7493785153238646,2.7493785153238646,2.7493785153238646,3343.167296,4307.11979757241,4307.11979757241,4307.11979757241,2093
Poisson,13,12-17,1.584811,1.4905412539869323,1.4905412539869323,1.4905412539869323,495.047755,409.0426080994248,409.0426080994248,409.0426080994248,371
Poisson,13,18-44,0.789978,0.7160415604406782,0.7160415604406782,0.7160415604406782,1374.557951,1399.4287021399214,1399.4287021399214,1399.4287021399214,1526
Poisson,13,45-64,0.650872,0.5785970731314862,0.5785970731314862,0.5785970731314862,365.179311,305.0487384729804,305.0487384729804,305.0487384729804,329
Poisson,13,65+,0.527885,0.4753340110872058,0.4753340110872058,0.4753340110872058,69.974553,58.55002585761588,58.55002585761588,58.55002585761588,76
Poisson,14,0-5,1.468566,1.0987607465769655,1.0987607465769655,1.0987607465769655,693.114377,755.2216471727961,755.2216471727961,755.2216471727961,756
Poisson,14,6-11,2.456486,1.7004083065092634,1.7004083065092634,1.7004083065092634,4082.728327,5595.798795719558,5595.798795719558,5595.798795719558,4126
Poisson,14,12-17,1.596151,1.6841532578090397,1.6841532578090397,1.6841532578090397,589.785973,514.0806520226538,514.0806520226538,514.0806520226538,595
Poisson,14,18-44,0.796023,0.5959446050868725,0.5959446050868725,0.5959446050868725,1652.533292,1680.5924861649037,1680.5924861649037,1680.5924861649037,1661
Poisson,14,45-64,0.656485,0.5120944227515023,0.5120944227515023,0.5120944227515023,436.643561,390.9340115270643,390.9340115270643,390.9340115270643,384
Poisson,14,65+,0.532333,0.4041618419641907,0.4041618419641907,0.4041618419641907,82.893616,75.49049368478529,75.49049368478529,75.49049368478529,87
Poisson,15,0-5,1.47758,1.3084034740908452,1.3084034740908452,1.3084034740908452,807.946377,860.0575900225458,860.0575900225458,860.0575900225458,738
Poisson,15,6-11,2.462969,1.384660032471128,1.384660032471128,1.384660032471128,4983.241971,6238.246001265819,6238.246001265819,6238.246001265819,3959
Poisson,15,12-17,1.607303,1.701673175155947,1.701673175155947,1.701673175155947,706.636978,724.4761786935264,724.4761786935264,724.4761786935264,946
Poisson,15,18-44,0.801986,0.656194810470523,0.656194810470523,0.656194810470523,1998.026374,2012.6993646451829,2012.6993646451829,2012.6993646451829,1916
Poisson,15,45-64,0.662089,0.5489606070696257,0.5489606070696257,0.5489606070696257,525.977613,473.77996732702104,473.77996732702104,473.77996732702104,539
Poisson,15,65+,0.536789,0.42209976275558847,0.42209976275558847,0.42209976275558847,99.286285,95.4577400900373,95.4577400900373,95.4577400900373,74
Poisson,16,0-5,1.486304,1.5054100251323121,1.5054100251323121,1.5054100251323121,951.197058,1010.995179496028,1010.995179496028,1010.995179496028,1098
Poisson,16,6-11,2.468122,1.8377628639545003,1.8377628639545003,1.8377628639545003,6078.81127,6309.5105029931765,6309.5105029931765,6309.5105029931765,8139
Poisson,16,12-17,1.618224,1.4868560404851356,1.4868560404851356,1.4868560404851356,850.860069,969.7993133246673,969.7993133246673,969.7993133246673,702
Poisson,16,18-44,0.80784,0.7797951268722686,0.7797951268722686,0.7797951268722686,2426.872612,2518.9841138164047,2518.9841138164047,2518.9841138164047,2519
Poisson,16,45-64,0.66767,0.6196869500540214,0.6196869500540214,0.6196869500540214,637.364016,544.5075632857993,544.5075632857993,544.5075632857993,586
Poisson,16,65+,0.541239,0.5031790269973773,0.5031790269973773,0.5031790269973773,119.873309,117.0400237526676,117.0400237526676,117.0400237526676,115
Poisson,17,0-5,1.494685,1.7411100997423863,1.7411100997423863,1.7411100997423863,1129.277698,1181.0072195488274,1181.0072195488274,1181.0072195488274,1187
Poisson,17,6-11,2.471696,2.7868411204545187,2.7868411204545187,2.7868411204545187,7409.847775,6609.4201645829235,6609.4201645829235,6609.4201645829235,8099
Poisson,17,12-17,1.628868,1.701483959618714,1.701483959618714,1.701483959618714,1028.921606,1162.5958056336322,1162.5958056336322,1162.5958056336322,691
Poisson,17,18-44,0.813555,1.067780006829159,1.067780006829159,1.067780006829159,2958.553836,3343.8095252283965,3343.8095252283965,3343.8095252283965,3231
Poisson,17,45-64,0.673209,0.8284347783101804,0.8284347783101804,0.8284347783101804,776.000016,619.4711663158423,619.4711663158423,619.4711663158423,478
Poisson,17,65+,0.54567,0.6473269790415818,0.6473269790415818,0.6473269790415818,145.575978,145.35716266746704,145.35716266746704,145.35716266746704,130
