Np,day,age_group,ess,resampled
100000,56,18-44,76326.44213619061,false
100000,56,45-64,51401.888544349815,false
100000,56,65+,64078.974949265896,false
100000,57,0-5,91818.22078935185,false
100000,57,6-11,79308.86899117111,false
100000,57,12-17,76145.157469501,false
100000,57,18-44,62500.747649060846,false
100000,57,45-64,42007.2862720995,true
100000,57,65+,52616.93775581726,false
100000,58,0-5,77744.48590969332,false
100000,58,6-11,66486.80324168249,false
100000,58,12-17,62139.10737498228,false
100000,58,18-44,50825.90160641591,false
100000,58,45-64,91245.16295994876,false
100000,58,65+,43078.72246367639,true
100000,59,0-5,64155.18528800102,false
100000,59,6-11,55326.655213329504,false
100000,59,12-17,50446.79662928765,false
100000,59,18-44,41283.57688614693,true
100000,59,45-64,76596.21393120308,false
100000,59,65+,91456.03199220219,false
100000,60,0-5,52517.75635267103,false
100000,60,6-11,45828.255634836016,true
100000,60,12-17,40949.38649681706,true
100000,60,18-44,91018.94836801992,false
100000,60,45-64,62693.53834861161,false
100000,60,65+,77286.6766022039,false
100000,61,0-5,43012.27273746619,true
100000,61,6-11,92195.863356934,false
100000,61,12-17,91054.28530881261,false
100000,61,18-44,76111.62921731653,false
100000,61,45-64,51121.178117888645,false
100000,61,65+,63933.00030642263,false
100000,62,0-5,91615.25163385566,false
100000,62,6-11,78759.39025429577,false
100000,62,12-17,76087.0343560449,false
100000,62,18-44,62131.77270246192,false
100000,62,45-64,41802.67928617455,true
100000,62,65+,52486.813180301346,false
100000,63,0-5,77318.42855330413,false
100000,63,6-11,65814.34511002117,false
100000,63,12-17,62019.25254264187,false
100000,63,18-44,50353.518212539406,false
100000,63,45-64,91309.46534583361,false
100000,63,65+,42999.798535927635,true
100000,64,0-5,63593.94597261025,false
100000,64,6-11,54497.52419014158,false
100000,64,12-17,50219.467369919774,false
100000,64,18-44,40786.91534616953,true
100000,64,45-64,76703.50068878038,false
100000,64,65+,91483.21056064342,false
100000,65,0-5,51928.689025433385,false
100000,65,6-11,44900.22654189301,true
100000,65,12-17,40707.11088752257,true
100000,65,18-44,90973.9857583279,false
100000,65,45-64,62761.30161463392,false
100000,65,65+,77344.78443336129,false
100000,66,0-5,42521.33329359494,true
100000,66,6-11,92034.65187156083,false
100000,66,12-17,91247.35177575701,false
100000,66,18-44,75947.21241274681,false
100000,66,45-64,51191.214974591385,false
100000,66,65+,63981.59473875129,false
