day,age_group,incidence
91,65+,1316
92,0-5,813
92,6-11,619
92,12-17,1300
92,18-44,13048
92,45-64,5773
92,65+,1180
93,0-5,936
93,6-11,476
93,12-17,1363
93,18-44,10113
93,45-64,4638
93,65+,1265
94,0-5,951
94,6-11,476
94,12-17,1644
94,18-44,9150
94,45-64,6554
94,65+,1670
95,0-5,839
95,6-11,338
95,12-17,1443
95,18-44,10122
95,45-64,4672
95,65+,1236
96,0-5,833
96,6-11,528
96,12-17,1048
96,18-44,9423
96,45-64,7081
96,65+,1068
97,0-5,1010
97,6-11,319
97,12-17,1463
97,18-44,8673
97,45-64,5615
97,65+,949
98,0-5,497
98,6-11,371
98,12-17,1543
98,18-44,7351
98,45-64,4586
98,65+,1489
99,0-5,479
99,6-11,233
99,12-17,688
99,18-44,8198
99,45-64,4028
99,65+,1122
100,0-5,461
100,6-11,281
100,12-17,1068
100,18-44,8412
100,45-64,3869
100,65+,716
101,0-5,761
101,6-11,276
101,12-17,1606
101,18-44,6149
101,45-64,3791
101,65+,1129
102,0-5,434
102,6-11,172
102,12-17,620
102,18-44,6624
102,45-64,5543
102,65+,803
103,0-5,476
103,6-11,208
103,12-17,745
103,18-44,6388
103,45-64,3761
103,65+,828
104,0-5,390
104,6-11,141
104,12-17,586
104,18-44,5054
104,45-64,3528
104,65+,617
105,0-5,433
105,6-11,216
105,12-17,612
105,18-44,4637
105,45-64,2170
105,65+,577
106,0-5,254
106,6-11,147
106,12-17,513
106,18-44,4011
106,45-64,2961
106,65+,717
107,0-5,270
107,6-11,182
107,12-17,552
107,18-44,3927
107,45-64,3611
107,65+,399
108,0-5,251
108,6-11,158
108,12-17,428
108,18-44,4478
108,45-64,2948
108,65+,753
109,0-5,236
109,6-11,113
109,12-17,472
109,18-44,2842
109,45-64,2245
109,65+,333
110,0-5,272
110,6-11,86
110,12-17,454
110,18-44,3213
110,45-64,2482
110,65+,454
111,0-5,248
111,6-11,106
111,12-17,593
111,18-44,3402
111,45-64,1434
111,65+,645
112,0-5,255
112,6-11,115
112,12-17,292
112,18-44,2661
112,45-64,1927
112,65+,553
113,0-5,222
113,6-11,121
113,12-17,287
113,18-44,3337
113,45-64,1538
113,65+,522
114,0-5,175
114,6-11,162
114,12-17,252
114,18-44,2942
114,45-64,2245
114,65+,420
115,0-5,175
115,6-11,67
115,12-17,222
115,18-44,2187
115,45-64,2289
115,65+,395
116,0-5,140
116,6-11,89
116,12-17,332
116,18-44,2273
116,45-64,1192
116,65+,321
117,0-5,180
117,6-11,75
117,12-17,200
117,18-44,2448
117,45-64,1659
117,65+,282
118,0-5,98
118,6-11,61
118,12-17,237
118,18-44,1524
118,45-64,1556
118,65+,331
119,0-5,105
119,6-11,38
119,12-17,298
119,18-44,1896
119,45-64,1318
119,65+,289
120,0-5,130
120,6-11,32
120,12-17,228
120,18-44,1695
120,45-64,829
120,65+,275
121,0-5,68
121,6-11,42
121,12-17,126
121,18-44,1665
121,45-64,1234
121,65+,368
122,0-5,73
122,6-11,26
122,12-17,223
122,18-44,1222
122,45-64,982
122,65+,352
123,0-5,57
123,6-11,42
123,12-17,161
123,18-44,1251
123,45-64,1178
123,65+,252
124,0-5,92
124,6-11,25
124,12-17,175
124,18-44,1084
124,45-64,794
124,65+,197
125,0-5,51
125,6-11,24
125,12-17,125
125,18-44,1150
125,45-64,1037
125,65+,220
126,0-5,61
126,6-11,25
126,12-17,106
126,18-44,1169
126,45-64,581
126,65+,151
127,0-5,39
127,6-11,36
127,12-17,93
127,18-44,873
127,45-64,659
127,65+,146
128,0-5,30
128,6-11,14
128,12-17,123
128,18-44,702
128,45-64,675
128,65+,117
129,0-5,42
129,6-11,19
129,12-17,82
129,18-44,1025
129,45-64,796
129,65+,215
130,0-5,39
130,6-11,24
130,12-17,74
130,18-44,574
130,45-64,507
130,65+,112
131,0-5,43
131,6-11,12
131,12-17,86
131,18-44,735
131,45-64,485
131,65+,138
132,0-5,52
132,6-11,13
132,12-17,84
132,18-44,527
132,45-64,330
132,65+,105
133,0-5,28
133,6-11,15
133,12-17,44
133,18-44,764
133,45-64,703
133,65+,84
134,0-5,26
134,6-11,17
134,12-17,34
134,18-44,557
134,45-64,552
134,65+,62
135,0-5,29
135,6-11,15
135,12-17,37
135,18-44,434
135,45-64,403
135,65+,119
136,0-5,34
136,6-11,6
136,12-17,38
136,18-44,413
136,45-64,264
136,65+,107
137,0-5,24
137,6-11,9
137,12-17,35
137,18-44,461
137,45-64,249
137,65+,74
138,0-5,26
138,6-11,10
138,12-17,28
138,18-44,424
138,45-64,288
138,65+,63
139,0-5,15
139,6-11,7
139,12-17,27
139,18-44,483
139,45-64,251
139,65+,62
140,0-5,20
140,6-11,9
140,12-17,33
140,18-44,287
140,45-64,166
140,65+,82
141,0-5,15
141,6-11,6
141,12-17,39
141,18-44,285
141,45-64,182
141,65+,56
142,0-5,23
142,6-11,8
142,12-17,21
142,18-44,320
142,45-64,198
142,65+,38
143,0-5,14
143,6-11,4
143,12-17,36
143,18-44,271
143,45-64,165
143,65+,35
144,0-5,11
144,6-11,4
144,12-17,31
144,18-44,253
144,45-64,168
144,65+,53
145,0-5,8
145,6-11,3
145,12-17,23
145,18-44,181
145,45-64,166
145,65+,21
146,0-5,13
146,6-11,4
146,12-17,20
146,18-44,113
146,45-64,138
146,65+,45
147,0-5,15
147,6-11,5
147,12-17,9
147,18-44,238
147,45-64,95
147,65+,38
148,0-5,4
148,6-11,0
148,12-17,12
148,18-44,211
148,45-64,86
148,65+,40
149,0-5,11
149,6-11,9
149,12-17,12
149,18-44,93
149,45-64,108
149,65+,35
