scenario,day,quantity,series,mid,lo,hi
step,44,Rt,PS,1.817361,1.174463,2.653564
step,44,Rt,PF,1.728372,0.728117,3.764190
step,44,obs,true,609,609,609
step,44,obs,PS,604.882709,458.246146,825.042277
step,44,obs,PF,604.882709,458.246146,825.042277
step,45,Rt,true,1.798826,1.798826,1.798826
step,45,Rt,PS,1.828001,1.172786,2.670336
step,45,Rt,PF,1.725490,0.725192,3.787423
step,45,obs,true,736,736,736
step,45,obs,PS,730.522267,553.070220,997.155549
step,45,obs,PF,730.522267,553.070220,997.155549
step,46,Rt,true,1.798588,1.798588,1.798588
step,46,Rt,PS,1.850654,1.194607,2.671872
step,46,Rt,PF,1.729579,0.728875,3.783853
step,46,obs,true,889,889,889
step,46,obs,PS,884.694836,668.526039,1202.467227
step,46,obs,PF,884.694836,668.526039,1202.467227
step,47,Rt,true,1.798300,1.798300,1.798300
step,47,Rt,PS,1.825449,1.187378,2.656994
step,47,Rt,PF,1.723726,0.725259,3.760500
step,47,obs,true,1075,1075,1075
step,47,obs,PS,1066.587067,809.550028,1455.346101
step,47,obs,PF,1066.587067,809.550028,1455.346101
step,48,Rt,true,1.797952,1.797952,1.797952
step,48,Rt,PS,1.723629,1.126343,2.632812
step,48,Rt,PF,1.731818,0.733302,3.794390
step,48,obs,true,1299,1299,1299
step,48,obs,PS,1290.479970,979.118698,1757.357468
step,48,obs,PF,1290.479970,979.118698,1757.357468
step,49,Rt,true,1.797532,1.797532,1.797532
step,49,Rt,PS,1.514505,0.993111,2.207701
step,49,Rt,PF,1.736466,0.735664,3.782995
step,49,obs,true,1570,1570,1570
step,49,obs,PS,1563.339087,1181.110146,2121.036644
step,49,obs,PF,1563.339087,1181.110146,2121.036644
step,50,Rt,true,1.797024,1.797024,1.797024
step,50,Rt,PS,1.223730,0.789919,1.880477
step,50,Rt,PF,1.730050,0.741465,3.805051
step,50,obs,true,1897,1897,1897
step,50,obs,PS,1890.900396,1431.616902,2567.733495
step,50,obs,PF,1890.900396,1431.616902,2567.733495
step,51,Rt,true,0.598804,0.598804,0.598804
step,51,Rt,PS,0.971042,0.605450,1.463526
step,51,Rt,PF,1.651516,0.702600,3.624669
step,51,obs,true,2188,2188,2188
step,51,obs,PS,2216.227052,1678.564071,3005.835872
step,51,obs,PF,2216.227052,1678.564071,3005.835872
step,52,Rt,true,0.598725,0.598725,0.598725
step,52,Rt,PS,0.788783,0.483788,1.190507
step,52,Rt,PF,1.373307,0.565584,3.071890
step,52,obs,true,2176,2176,2176
step,52,obs,PS,2329.419919,1771.821030,3148.425911
step,52,obs,PF,2329.419919,1771.821030,3148.425911
step,53,Rt,true,0.598647,0.598647,0.598647
step,53,Rt,PS,0.665352,0.420079,1.042169
step,53,Rt,PF,1.073572,0.431694,2.468138
step,53,obs,true,2011,2011,2011
step,53,obs,PS,2232.582524,1707.732272,3005.668295
step,53,obs,PF,2232.582524,1707.732272,3005.668295
step,54,Rt,true,0.598575,0.598575,0.598575
step,54,Rt,PS,0.596950,0.365260,0.922791
step,54,Rt,PF,0.844281,0.324966,2.004675
step,54,obs,true,1808,1808,1808
step,54,obs,PS,2009.935045,1548.840716,2681.239539
step,54,obs,PF,2009.935045,1548.840716,2681.239539
step,55,Rt,true,0.598510,0.598510,0.598510
step,55,Rt,PS,0.570920,0.346562,0.902061
step,55,Rt,PF,0.692236,0.260715,1.702305
step,55,obs,true,1607,1607,1607
step,55,obs,PS,1753.510629,1355.285517,2328.274337
step,55,obs,PF,1753.510629,1355.285517,2328.274337
step,56,Rt,true,0.598452,0.598452,0.598452
step,56,Rt,PS,0.557243,0.339823,0.869641
step,56,Rt,PF,0.600136,0.218405,1.520743
step,56,obs,true,1422,1422,1422
step,56,obs,PS,1508.993182,1172.306862,1997.169330
step,56,obs,PF,1508.993182,1172.306862,1997.169330
step,57,Rt,true,0.598401,0.598401,0.598401
step,57,Rt,PS,0.558919,0.346520,0.883635
step,57,Rt,PF,0.548718,0.193734,1.414171
step,57,obs,true,1256,1256,1256
step,57,obs,PS,1297.524495,1010.119993,1712.709297
step,57,obs,PF,1297.524495,1010.119993,1712.709297
step,58,Rt,true,0.598356,0.598356,0.598356
step,58,Rt,PS,0.566794,0.342881,0.888322
step,58,Rt,PF,0.529093,0.182960,1.378857
step,58,obs,true,1108,1108,1108
step,58,obs,PS,1118.777383,875.246078,1473.344916
step,58,obs,PF,1118.777383,875.246078,1473.344916
step,59,Rt,true,0.598316,0.598316,0.598316
step,59,Rt,PS,0.572994,0.351896,0.894775
step,59,Rt,PF,0.524574,0.181568,1.368153
step,59,obs,true,977,977,977
step,59,obs,PS,971.262029,757.864510,1283.141832
step,59,obs,PF,971.262029,757.864510,1283.141832
step,60,Rt,true,0.598281,0.598281,0.598281
step,60,Rt,PS,0.578212,0.356076,0.893906
step,60,Rt,PF,0.533277,0.183652,1.388688
step,60,obs,true,862,862,862
step,60,obs,PS,850.141595,661.723971,1123.958749
step,60,obs,PF,850.141595,661.723971,1123.958749
step,61,Rt,true,0.598250,0.598250,0.598250
step,61,Rt,PS,0.586554,0.363949,0.908433
step,61,Rt,PF,0.541766,0.186383,1.413651
step,61,obs,true,760,760,760
step,61,obs,PS,748.866490,580.622646,991.154250
step,61,obs,PF,748.866490,580.622646,991.154250
step,62,Rt,true,0.598223,0.598223,0.598223
step,62,Rt,PS,0.585674,0.357950,0.929867
step,62,Rt,PF,0.552034,0.189668,1.439959
step,62,obs,true,670,670,670
step,62,obs,PS,660.020287,511.181003,876.709818
step,62,obs,PF,660.020287,511.181003,876.709818
step,63,Rt,true,0.598199,0.598199,0.598199
step,63,Rt,PS,0.592281,0.368292,0.929373
step,63,Rt,PF,0.561772,0.193139,1.458383
step,63,obs,true,591,591,591
step,63,obs,PS,583.192749,452.459263,775.006238
step,63,obs,PF,583.192749,452.459263,775.006238
step,64,Rt,true,0.598178,0.598178,0.598178
step,64,Rt,PS,0.593754,0.356447,0.908439
step,64,Rt,PF,0.567320,0.195589,1.469048
step,64,obs,true,521,521,521
step,64,obs,PS,515.256516,398.798306,686.202234
step,64,obs,PF,515.256516,398.798306,686.202234
step,65,Rt,true,0.598159,0.598159,0.598159
step,65,Rt,PS,0.590538,0.360504,0.940630
step,65,Rt,PF,0.566505,0.196292,1.459853
step,65,obs,true,459,459,459
step,65,obs,PS,455.115086,352.005932,604.319896
step,65,obs,PF,455.115086,352.005932,604.319896
step,66,Rt,true,0.598142,0.598142,0.598142
step,66,Rt,PS,0.590688,0.352684,0.925203
step,66,Rt,PF,0.569958,0.198516,1.470000
step,66,obs,true,405,405,405
step,66,obs,PS,402.204377,310.672950,533.821175
step,66,obs,PF,402.204377,310.672950,533.821175
step,67,Rt,true,0.598128,0.598128,0.598128
step,67,Rt,PS,0.581818,0.359198,0.906602
step,67,Rt,PF,0.568975,0.198715,1.490651
step,67,obs,true,357,357,357
step,67,obs,PS,354.370128,273.589141,472.798621
step,67,obs,PF,354.370128,273.589141,472.798621
step,68,Rt,true,0.598115,0.598115,0.598115
step,68,Rt,PS,0.572573,0.352113,0.881673
step,68,Rt,PF,0.563021,0.199870,1.478591
step,68,obs,true,315,315,315
step,68,obs,PS,311.898219,241.011973,417.359260
step,68,obs,PF,311.898219,241.011973,417.359260
step,69,Rt,true,0.598104,0.598104,0.598104
step,69,Rt,PS,0.571732,0.353996,0.912300
step,69,Rt,PF,0.562548,0.197116,1.492349
step,69,obs,true,278,278,278
step,69,obs,PS,275.248996,212.324018,368.665548
step,69,obs,PF,275.248996,212.324018,368.665548
step,70,Rt,true,0.598094,0.598094,0.598094
step,70,Rt,PS,0.578189,0.343788,0.930849
step,70,Rt,PF,0.563692,0.194591,1.478088
step,70,obs,true,245,245,245
step,70,obs,PS,242.623119,186.858120,324.762759
step,70,obs,PF,242.623119,186.858120,324.762759
step,71,Rt,true,0.598085,0.598085,0.598085
step,71,Rt,PS,0.579277,0.347401,0.927452
step,71,Rt,PF,0.561157,0.192559,1.481466
step,71,obs,true,216,216,216
step,71,obs,PS,213.718779,164.348654,287.647496
step,71,obs,PF,213.718779,164.348654,287.647496
step,72,Rt,true,0.598077,0.598077,0.598077
step,72,Rt,PS,0.604845,0.372312,0.961189
step,72,Rt,PF,0.561829,0.192605,1.478919
step,72,obs,true,190,190,190
step,72,obs,PS,188.072500,144.511575,252.964569
step,72,obs,PF,188.072500,144.511575,252.964569
step,73,Rt,true,0.598070,0.598070,0.598070
step,73,Rt,PS,0.644911,0.397520,1.036223
step,73,Rt,PF,0.560950,0.193530,1.477890
step,73,obs,true,168,168,168
step,73,obs,PS,165.901410,126.820288,222.797531
step,73,obs,PF,165.901410,126.820288,222.797531
step,74,Rt,true,0.598064,0.598064,0.598064
step,74,Rt,PS,0.699177,0.436713,1.116235
step,74,Rt,PF,0.563817,0.190974,1.486138
step,74,obs,true,148,148,148
step,74,obs,PS,146.625475,111.930208,197.550745
step,74,obs,PF,146.625475,111.930208,197.550745
step,75,Rt,true,0.598059,0.598059,0.598059
step,75,Rt,PS,0.791190,0.498742,1.212779
step,75,Rt,PF,0.556885,0.190382,1.478900
step,75,obs,true,130,130,130
step,75,obs,PS,128.917221,97.984240,174.045787
step,75,obs,PF,128.917221,97.984240,174.045787
step,76,Rt,true,1.196109,1.196109,1.196109
step,76,Rt,PS,0.904445,0.569382,1.391348
step,76,Rt,PF,0.573359,0.193026,1.508825
step,76,obs,true,118,118,118
step,76,obs,PS,115.140446,87.185602,156.405423
step,76,obs,PF,115.140446,87.185602,156.405423
step,77,Rt,true,1.196092,1.196092,1.196092
step,77,Rt,PS,1.027470,0.647534,1.539645
step,77,Rt,PF,0.648814,0.221314,1.680765
step,77,obs,true,116,116,116
step,77,obs,PS,108.645679,81.959251,148.371228
step,77,obs,PF,108.645679,81.959251,148.371228
step,78,Rt,true,1.196075,1.196075,1.196075
step,78,Rt,PS,1.122079,0.710592,1.704322
step,78,Rt,PF,0.790582,0.279266,2.017622
step,78,obs,true,120,120,120
step,78,obs,PS,109.676219,82.199726,150.418837
step,78,obs,PF,109.676219,82.199726,150.418837
step,79,Rt,true,1.196058,1.196058,1.196058
step,79,Rt,PS,1.179443,0.752917,1.826009
step,79,Rt,PF,0.953672,0.351511,2.369916
step,79,obs,true,126,126,126
step,79,obs,PS,116.012675,86.414170,159.371290
step,79,obs,PF,116.012675,86.414170,159.371290
step,80,Rt,true,1.196040,1.196040,1.196040
step,80,Rt,PS,1.204252,0.775605,1.826526
step,80,Rt,PF,1.079245,0.408240,2.612733
step,80,obs,true,132,132,132
step,80,obs,PS,124.597857,92.774067,171.931476
step,80,obs,PF,124.597857,92.774067,171.931476
step,81,Rt,true,1.196021,1.196021,1.196021
step,81,Rt,PS,1.206024,0.788682,1.819464
step,81,Rt,PF,1.149324,0.442768,2.698552
step,81,obs,true,139,139,139
step,81,obs,PS,133.938923,100.290584,185.267391
