day,age_group,Rt
78,45-64,0.712086
78,65+,0.629999
79,0-5,0.915414
79,6-11,0.950693
79,12-17,1.096383
79,18-44,0.716001
79,45-64,0.714049
79,65+,0.632415
80,0-5,0.914439
80,6-11,0.950063
80,12-17,1.095845
80,18-44,0.717225
80,45-64,0.716005
80,65+,0.634817
81,0-5,0.913513
81,6-11,0.949472
81,12-17,1.095371
81,18-44,0.718448
81,45-64,0.717947
81,65+,0.637200
82,0-5,0.912626
82,6-11,0.948911
82,12-17,1.094944
82,18-44,0.719661
82,45-64,0.719870
82,65+,0.639561
83,0-5,0.911765
83,6-11,0.948368
83,12-17,1.094550
83,18-44,0.720859
83,45-64,0.721769
83,65+,0.641895
84,0-5,0.910920
84,6-11,0.947834
84,12-17,1.094175
84,18-44,0.722038
84,45-64,0.723639
84,65+,0.644198
85,0-5,0.910081
85,6-11,0.947300
85,12-17,1.093807
85,18-44,0.723190
85,45-64,0.725476
85,65+,0.646468
86,0-5,0.909241
86,6-11,0.946757
86,12-17,1.093435
86,18-44,0.724313
86,45-64,0.727275
86,65+,0.648700
87,0-5,0.908390
87,6-11,0.946198
87,12-17,1.093047
87,18-44,0.725400
87,45-64,0.729032
87,65+,0.650892
88,0-5,0.907521
88,6-11,0.945615
88,12-17,1.092636
88,18-44,0.726449
88,45-64,0.730743
88,65+,0.653040
89,0-5,0.906628
89,6-11,0.945004
89,12-17,1.092192
89,18-44,0.727454
89,45-64,0.732405
89,65+,0.655142
90,0-5,0.905703
90,6-11,0.944357
90,12-17,1.091708
90,18-44,0.728412
90,45-64,0.734015
90,65+,0.657195
91,0-5,0.904742
91,6-11,0.943669
91,12-17,1.091175
91,18-44,0.729321
91,45-64,0.735569
91,65+,0.659196
92,0-5,0.903740
92,6-11,0.942936
92,12-17,1.090589
92,18-44,0.730176
92,45-64,0.737065
92,65+,0.661143
93,0-5,0.902691
93,6-11,0.942153
93,12-17,1.089942
93,18-44,0.730974
93,45-64,0.738499
93,65+,0.663033
94,0-5,0.901591
94,6-11,0.941316
94,12-17,1.089229
94,18-44,0.731714
94,45-64,0.739869
94,65+,0.664866
95,0-5,0.900436
95,6-11,0.940421
95,12-17,1.088446
95,18-44,0.732392
95,45-64,0.741173
95,65+,0.666637
96,0-5,0.899222
96,6-11,0.939465
96,12-17,1.087587
96,18-44,0.733005
96,45-64,0.742408
96,65+,0.668346
97,0-5,0.897947
97,6-11,0.938445
97,12-17,1.086649
97,18-44,0.733553
97,45-64,0.743572
97,65+,0.669990
98,0-5,0.896607
98,6-11,0.937357
98,12-17,1.085628
98,18-44,0.734032
98,45-64,0.744663
98,65+,0.671568
99,0-5,0.895199
99,6-11,0.936200
99,12-17,1.084520
99,18-44,0.734440
99,45-64,0.745680
99,65+,0.673078
100,0-5,0.893721
100,6-11,0.934972
100,12-17,1.083323
100,18-44,0.734777
100,45-64,0.746620
100,65+,0.674518
101,0-5,0.892172
101,6-11,0.933669
101,12-17,1.082034
101,18-44,0.735039
101,45-64,0.747482
101,65+,0.675888
102,0-5,0.890549
102,6-11,0.932291
102,12-17,1.080649
102,18-44,0.735227
102,45-64,0.748264
102,65+,0.677185
103,0-5,0.888850
103,6-11,0.930835
103,12-17,1.079168
103,18-44,0.735338
103,45-64,0.748965
103,65+,0.678408
104,0-5,0.887073
104,6-11,0.929301
104,12-17,1.077588
104,18-44,0.735371
104,45-64,0.749584
104,65+,0.679557
105,0-5,0.885219
105,6-11,0.927687
105,12-17,1.075908
105,18-44,0.735325
105,45-64,0.750119
105,65+,0.680629
106,0-5,0.883285
106,6-11,0.925991
106,12-17,1.074125
106,18-44,0.735199
106,45-64,0.750569
106,65+,0.681624
107,0-5,0.881270
107,6-11,0.924214
107,12-17,1.072239
107,18-44,0.734992
107,45-64,0.750934
107,65+,0.682541
108,0-5,0.879174
108,6-11,0.922355
108,12-17,1.070249
108,18-44,0.734703
108,45-64,0.751212
108,65+,0.683379
109,0-5,0.876996
109,6-11,0.920412
109,12-17,1.068153
109,18-44,0.734332
109,45-64,0.751402
109,65+,0.684136
110,0-5,0.874736
110,6-11,0.918385
110,12-17,1.065951
110,18-44,0.733877
110,45-64,0.751505
110,65+,0.684813
111,0-5,0.872393
111,6-11,0.916275
111,12-17,1.063643
111,18-44,0.733339
111,45-64,0.751518
111,65+,0.685408
112,0-5,0.869967
112,6-11,0.914080
112,12-17,1.061227
112,18-44,0.732717
112,45-64,0.751442
112,65+,0.685921
113,0-5,0.867459
113,6-11,0.911801
113,12-17,1.058705
113,18-44,0.732010
113,45-64,0.751275
113,65+,0.686351
114,0-5,0.864867
114,6-11,0.909438
