day,age_group,Rj_est,true_Rj
40,6-11,1.655372,1.459686
40,12-17,1.606401,1.542381
40,18-44,0.811254,0.788577
40,45-64,0.723899,0.715149
40,65+,0.591873,0.587398
41,0-5,1.364415,1.290953
41,6-11,1.591159,1.404245
41,12-17,1.583987,1.517563
41,18-44,0.803379,0.781104
41,45-64,0.720825,0.712322
41,65+,0.590350,0.586383
42,0-5,1.338507,1.264279
42,6-11,1.530925,1.354261
42,12-17,1.560492,1.492072
42,18-44,0.795518,0.773835
42,45-64,0.717624,0.709447
42,65+,0.588813,0.585414
43,0-5,1.312457,1.238125
43,6-11,1.474910,1.309493
43,12-17,1.536162,1.466220
43,18-44,0.787755,0.766831
43,45-64,0.714351,0.706578
43,65+,0.587300,0.584516
44,0-5,1.286533,1.212753
44,6-11,1.423184,1.269576
44,12-17,1.511248,1.440311
44,18-44,0.780159,0.760141
44,45-64,0.711054,0.703760
44,65+,0.585841,0.583713
45,0-5,1.260979,1.188372
45,6-11,1.375689,1.234079
45,12-17,1.486002,1.414631
45,18-44,0.772788,0.753800
45,45-64,0.707778,0.701036
45,65+,0.584462,0.583021
46,0-5,1.236004,1.165143
46,6-11,1.332274,1.202554
46,12-17,1.460666,1.389444
46,18-44,0.765688,0.747835
46,45-64,0.704564,0.698441
46,65+,0.583185,0.582457
47,0-5,1.211786,1.143177
47,6-11,1.292730,1.174563
47,12-17,1.435473,1.364981
47,18-44,0.758895,0.742263
47,45-64,0.701446,0.696005
47,65+,0.582026,0.582032
48,0-5,1.188468,1.122545
48,6-11,1.256813,1.149695
48,12-17,1.410641,1.341439
48,18-44,0.752439,0.737094
48,45-64,0.698456,0.693755
48,65+,0.581000,0.581754
49,0-5,1.166165,1.103279
49,6-11,1.224264,1.127582
49,12-17,1.386364,1.318977
49,18-44,0.746342,0.732333
49,45-64,0.695621,0.691711
49,65+,0.580118,0.581631
50,0-5,1.144959,1.085382
50,6-11,1.194821,1.107894
50,12-17,1.362813,1.297714
50,18-44,0.740620,0.727981
50,45-64,0.692964,0.689889
50,65+,0.579390,0.581667
51,0-5,1.124905,1.068832
51,6-11,1.168227,1.090343
51,12-17,1.340133,1.277736
51,18-44,0.735283,0.724031
51,45-64,0.690505,0.688300
51,65+,0.578823,0.581864
52,0-5,1.106036,1.053589
52,6-11,1.144239,1.074677
52,12-17,1.318441,1.259092
52,18-44,0.730337,0.720478
52,45-64,0.688260,0.686950
52,65+,0.578422,0.582224
53,0-5,1.088362,1.039599
53,6-11,1.122625,1.060681
53,12-17,1.297829,1.241802
53,18-44,0.725785,0.717310
53,45-64,0.686240,0.685844
53,65+,0.578191,0.582745
54,0-5,1.071877,1.026798
54,6-11,1.103168,1.048166
54,12-17,1.278359,1.225861
54,18-44,0.721624,0.714513
54,45-64,0.684455,0.684979
54,65+,0.578131,0.583425
55,0-5,1.056559,1.015117
55,6-11,1.085667,1.036969
55,12-17,1.260073,1.211241
55,18-44,0.717848,0.712073
55,45-64,0.682909,0.684354
55,65+,0.578243,0.584260
56,0-5,1.042375,1.004483
56,6-11,1.069938,1.026948
56,12-17,1.242991,1.197900
56,18-44,0.714449,0.709973
56,45-64,0.681605,0.683962
56,65+,0.578525,0.585245
57,0-5,1.029284,0.994825
57,6-11,1.055811,1.017980
57,12-17,1.227113,1.185780
57,18-44,0.711416,0.708196
57,45-64,0.680542,0.683795
57,65+,0.578974,0.586376
58,0-5,1.017237,0.986069
58,6-11,1.043131,1.009957
58,12-17,1.212425,1.174817
58,18-44,0.708737,0.706722
58,45-64,0.679717,0.683844
58,65+,0.579587,0.587644
59,0-5,1.006183,0.978144
59,6-11,1.031757,1.002781
59,12-17,1.198898,1.164941
59,18-44,0.706398,0.705534
59,45-64,0.679126,0.684097
59,65+,0.580360,0.589042
60,0-5,0.996064,0.970985
60,6-11,1.021561,0.996369
60,12-17,1.186494,1.156077
60,18-44,0.704383,0.704613
60,45-64,0.678761,0.684545
60,65+,0.581286,0.590564
61,0-5,0.986826,0.964526
61,6-11,1.012428,0.990644
61,12-17,1.175167,1.148150
61,18-44,0.702677,0.703939
61,45-64,0.678616,0.685173
61,65+,0.582359,0.592201
62,0-5,0.978409,0.958707
62,6-11,1.004253,0.985538
62,12-17,1.164865,1.141086
62,18-44,0.701262,0.703495
62,45-64,0.678680,0.685971
62,65+,0.583574,0.593945
63,0-5,0.970757,0.953470
63,6-11,0.996943,0.980990
63,12-17,1.155531,1.134813
63,18-44,0.700122,0.703262
63,45-64,0.678944,0.686924
63,65+,0.584922,0.595787
64,0-5,0.963816,0.948763
64,6-11,0.990413,0.976944
64,12-17,1.147107,1.129261
64,18-44,0.699239,0.703222
64,45-64,0.679397,0.688021
64,65+,0.586396,0.597720
65,0-5,0.957529,0.944537
65,6-11,0.984586,0.973350
65,12-17,1.139532,1.124363
65,18-44,0.698597,0.703360
65,45-64,0.680028,0.689248
65,65+,0.587988,0.599735
66,0-5,0.951847,0.940745
66,6-11,0.979393,0.970162
66,12-17,1.132746,1.120057
66,18-44,0.698178,0.703657
66,45-64,0.680825,0.690594
66,65+,0.589690,0.601824
67,0-5,0.946719,0.937344
67,6-11,0.974772,0.967338
67,12-17,1.126690,1.116285
67,18-44,0.697965,0.704100
67,45-64,0.681776,0.692047
67,65+,0.591494,0.603978
68,0-5,0.942099,0.934296
68,6-11,0.970665,0.964841
68,12-17,1.121305,1.112991
68,18-44,0.697943,0.704672
68,45-64,0.682869,0.693594
68,65+,0.593392,0.606191
69,0-5,0.937942,0.931564
69,6-11,0.967022,0.962634
69,12-17,1.116535,1.110126
69,18-44,0.698095,0.705361
69,45-64,0.684092,0.695226
69,65+,0.595375,0.608455
70,0-5,0.934205,0.929115
70,6-11,0.963794,0.960687
70,12-17,1.112325,1.107642
70,18-44,0.698405,0.706151
70,45-64,0.685434,0.696931
70,65+,0.597435,0.610762
71,0-5,0.930851,0.926917
71,6-11,0.960940,0.958969
71,12-17,1.108625,1.105496
71,18-44,0.698859,0.707032
71,45-64,0.686884,0.698699
71,65+,0.599564,0.613105
72,0-5,0.927842,0.924943
72,6-11,0.958420,0.957455
72,12-17,1.105386,1.103649
72,18-44,0.699443,0.707990
72,45-64,0.688429,0.700520
72,65+,0.601755,0.615478
73,0-5,0.925143,0.923165
73,6-11,0.956197,0.956118
73,12-17,1.102562,1.102064
73,18-44,0.700142,0.709014
73,45-64,0.690059,0.702385
73,65+,0.603999,0.617875
74,0-5,0.922724,0.921561
74,6-11,0.954241,0.954937
74,12-17,1.100109,1.100708
74,18-44,0.700944,0.710094
74,45-64,0.691763,0.704286
74,65+,0.606290,0.620288
75,0-5,0.920553,0.920107
75,6-11,0.952519,0.953891
75,12-17,1.097988,1.099550
75,18-44,0.701835,0.711220
75,45-64,0.693532,0.706214
75,65+,0.608620,0.622713
76,0-5,0.918605,0.918783
76,6-11,0.951005,0.952961
76,12-17,1.096161,1.098564
76,18-44,0.702805,0.712382
76,45-64,0.695356,0.708162
76,65+,0.610982,0.625143
77,0-5,0.916853,0.917571
77,6-11,0.949674,0.952128
77,12-17,1.094594,1.097722
77,18-44,0.703841,0.713572
77,45-64,0.697225,0.710121
77,65+,0.613370,0.627574
78,0-5,0.915273,0.916454
78,6-11,0.948502,0.951377
78,12-17,1.093255,1.097002
78,18-44,0.704934,0.714780
78,45-64,0.699131,0.712086
78,65+,0.615777,0.629999
79,0-5,0.913844,0.915414
79,6-11,0.947468,0.950693
79,12-17,1.092114,1.096383
79,18-44,0.706073,0.716001
79,45-64,0.701065,0.714049
79,65+,0.618196,0.632415
80,0-5,0.912546,0.914439
80,6-11,0.946552,0.950063
80,12-17,1.091143,1.095845
80,18-44,0.707249,0.717225
80,45-64,0.703020,0.716005
80,65+,0.620624,0.634817
81,0-5,0.911359,0.913513
81,6-11,0.945736,0.949472
81,12-17,1.090319,1.095371
81,18-44,0.708454,0.718448
81,45-64,0.704987,0.717947
81,65+,0.623053,0.637200
82,0-5,0.910267,0.912626
82,6-11,0.945004,0.948911
82,12-17,1.089617,1.094944
82,18-44,0.709677,0.719661
82,45-64,0.706961,0.719870
82,65+,0.625478,0.639561
83,0-5,0.909254,0.911765
