day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
13,2016-09-09,37,18-44,36.8571,33.1197,27.3672,40.1360,0.7005,0.5951,0.8196,0.8623
13,2016-09-09,37,45-64,26.5714,25.9302,21.4200,31.0339,0.7217,0.6125,0.8498,0.8931
13,2016-09-09,37,65+,19.7143,17.4255,13.9216,21.5587,0.7996,0.6676,0.9562,1.0117
14,2016-09-10,37,0-5,11.7143,10.3648,8.0928,13.1290,1.1171,0.9225,1.3537,1.3901
14,2016-09-10,37,6-11,13.8571,12.0810,9.5070,15.0890,1.2708,1.0652,1.5155,1.6068
14,2016-09-10,37,12-17,9.0000,7.3334,5.5859,9.5556,1.1730,0.9823,1.4018,1.4996
14,2016-09-10,37,18-44,39.2857,32.0778,26.8279,38.8623,0.6934,0.5883,0.8151,0.9092
14,2016-09-10,37,45-64,29.7143,25.0359,20.7431,30.1497,0.7172,0.6038,0.8455,0.9458
14,2016-09-10,37,65+,20.0000,16.6498,13.1581,20.6953,0.7948,0.6623,0.9549,1.0548
15,2016-09-11,38,0-5,10.5714,10.4069,8.1502,13.1868,1.1198,0.9266,1.3562,1.1963
15,2016-09-11,38,6-11,12.7143,11.8046,9.2289,14.7007,1.2850,1.0802,1.5166,1.3997
15,2016-09-11,38,12-17,8.0000,7.4077,5.6841,9.5510,1.1927,0.9995,1.4159,1.2739
15,2016-09-11,38,18-44,34.0000,31.0259,25.9529,37.5341,0.7014,0.6015,0.8228,0.7713
15,2016-09-11,38,45-64,26.0000,24.4023,20.1285,29.1333,0.7294,0.6231,0.8563,0.7960
15,2016-09-11,38,65+,16.0000,15.9839,12.4718,20.1956,0.8105,0.6824,0.9707,0.8673
16,2016-09-12,38,0-5,9.5714,10.4459,8.1047,13.2137,1.1522,0.9559,1.3872,1.0289
16,2016-09-12,38,6-11,11.5714,11.5602,9.0760,14.4492,1.3341,1.1303,1.5742,1.2159
16,2016-09-12,38,12-17,7.2857,7.4953,5.7983,9.6540,1.2514,1.0534,1.4844,1.1025
16,2016-09-12,38,18-44,27.1429,30.2709,25.1008,36.3034,0.7381,0.6334,0.8611,0.6467
16,2016-09-12,38,45-64,22.2857,23.9138,19.6351,28.9058,0.7736,0.6562,0.9060,0.6695
16,2016-09-12,38,65+,13.1429,15.5110,12.0939,19.6990,0.8577,0.7224,1.0251,0.7272
17,2016-09-13,38,0-5,9.5714,10.4689,8.1785,13.2233,1.2109,1.0087,1.4513,0.9927
