day,age_group,incidence,incidence_per1000,incidence_per100k
53,12-17,51554.583054,18.597677,1859.767694
53,18-44,143664.019026,7.971008,797.100795
53,45-64,63864.597100,3.784127,378.412718
53,65+,11367.681002,1.226646,122.664565
54,0-5,27803.721099,15.517305,1551.730512
54,6-11,20366.067748,7.521888,752.188777
54,12-17,48697.769472,17.567117,1756.711684
54,18-44,138495.530571,7.684241,768.424121
54,45-64,62724.861136,3.716595,371.659515
54,65+,11220.761820,1.210792,121.079213
55,0-5,25722.104644,14.355551,1435.555135
55,6-11,17944.672611,6.627583,662.758344
55,12-17,45742.531416,16.501051,1650.105134
55,18-44,133028.657862,7.380919,738.091901
55,45-64,61316.981241,3.633175,363.317496
55,65+,11029.613424,1.190166,119.016600
56,0-5,23723.737350,13.240259,1324.025909
56,6-11,15851.665114,5.854564,585.456394
56,12-17,42751.241664,15.421981,1542.198063
56,18-44,127354.933341,7.066120,706.611992
56,45-64,59680.485659,3.536209,353.620876
56,65+,10799.580130,1.165344,116.534393
57,0-5,21825.163845,12.180662,1218.066191
57,6-11,14041.269589,5.185923,518.592274
57,12-17,39777.071365,14.349086,1434.908555
57,18-44,121555.652620,6.744355,674.435450
57,45-64,57854.455716,3.428012,342.801221
57,65+,10536.008600,1.136903,113.690287
58,0-5,20036.940543,11.182651,1118.265138
58,6-11,12472.799024,4.606633,460.663274
58,12-17,36863.723446,13.298131,1329.813140
58,18-44,115701.993678,6.419572,641.957198
58,45-64,55876.609980,3.310820,331.082021
58,65+,10244.149047,1.105409,110.540935
59,0-5,18364.710692,10.249377,1024.937699
59,6-11,11110.736004,4.103576,410.357612
59,12-17,34045.702638,12.281565,1228.156531
59,18-44,109855.364973,6.095180,609.517953
59,45-64,53782.575099,3.186744,318.674373
59,65+,9929.070622,1.071410,107.141037
60,0-5,16810.221730,9.381814,938.181399
60,6-11,9924.494838,3.665457,366.545654
60,12-17,31348.972317,11.308753,1130.875327
60,18-44,104067.916027,5.774071,577.407058
60,45-64,51605.340472,3.057737,305.773747
60,65+,9595.591220,1.035426,103.542581
61,0-5,15372.240465,8.579274,857.927415
61,6-11,8888.002624,3.282644,328.264440
61,12-17,28791.859684,10.386307,1038.630657
61,18-44,98383.160257,5.458659,545.865943
61,45-64,49374.886077,2.925578,292.557781
61,65+,9248.221810,0.997942,99.794242
62,0-5,14047.343937,7.839847,783.984709
62,6-11,7979.195779,2.946991,294.699084
62,12-17,26386.091245,9.518455,951.845542
62,18-44,92836.670900,5.150920,515.091981
62,45-64,47117.966628,2.791850,279.185004
62,65+,8891.125032,0.959409,95.940939
63,0-5,12830.579981,7.160769,716.076901
63,6-11,7179.496144,2.651634,265.163432
63,12-17,24137.865017,8.707436,870.743567
63,18-44,87456.818610,4.852426,485.242583
63,45-64,44858.031087,2.657944,265.794356
63,65+,8528.087415,0.920235,92.023530
64,0-5,11716.002434,6.538721,653.872134
64,6-11,6473.306487,2.390814,239.081424
64,12-17,22048.890640,7.953864,795.386406
64,18-44,82265.525056,4.564394,456.439378
64,45-64,42615.254318,2.525054,252.505378
64,65+,8162.504165,0.880787,88.078653
65,0-5,10697.092399,5.970066,597.006588
65,6-11,5847.547901,2.159700,215.970012
65,12-17,20117.351102,7.257085,725.708510
65,18-44,77279.011456,4.287724,428.772367
65,45-64,40406.657293,2.394189,239.418922
65,65+,7797.375142,0.841387,84.138676
66,0-5,9767.080342,5.451025,545.102453
66,6-11,5291.249659,1.954240,195.424009
66,12-17,18338.758705,6.615480,661.547994
66,18-44,72508.525132,4.023040,402.303955
66,45-64,38246.293234,2.266183,226.618258
