Np,L,sigma_rw,resample,mape_Rj,rmse_Rj,bias_Rj,cov_Rj,width_Rj,mape_dR,cov_dR,ess_min,ess_med,uniq_min,runtime_s,mape_Rj_0_5,mape_Rj_6_11,mape_Rj_12_17,mape_Rj_18_44,mape_Rj_45_64,mape_Rj_65
10000,wh,0.25,every,1.9722149595245415,0.025994031515488375,0.015714625817950356,100.0,0.433874471038832,1.1876629974482518,100.0,1723.7995358660173,8686.019872561867,30,9.9757981300354,2.0567247197252314,2.35575788071624,1.8017130891397368,2.0891327024515722,1.8590054020751356,1.670955963039332
10000,wh,0.3,every,2.2661588517022495,0.02895907584341037,0.01866021961542701,100.0,0.4952249857736443,1.149842811345729,100.0,2674.5141136850093,8471.232754788045,44,9.87717604637146,2.468143785150048,2.7175872032725916,2.144221576035839,2.38448661285033,2.0430298360114745,1.8394840968932136
100000,16,0.1,every,1.4189070913335124,0.03442702271973322,0.004539702056091229,98.14814814814814,0.22679215680488427,0.5988543654006677,99.53703703703702,778.6962837921784,94295.20125132252,3,49.330153942108154,1.4227224049961085,1.9819846051243655,1.3504170776447308,1.3871849745797586,1.2326608576143598,1.1384726280417519
100000,16,0.15,every,1.241758432176807,0.01636873815618528,0.011083048069963054,100.0,0.3018400263289824,0.30584273951477386,100.0,3073.4116382174616,91561.40856541894,28,49.06174683570862,1.3505747365576168,1.599733136117322,1.2220008245679004,1.2251351883882176,1.0772366602824275,0.9758700471473569
100000,16,0.2,every,1.449365915736407,0.017414359834871468,0.013843555216150648,100.0,0.3716713458026914,0.2886917806600776,100.0,8180.690504725875,89094.11481278946,269,49.297651052474976,1.6014161373215656,1.7968048837881647,1.403049848726991,1.450038026623543,1.2728787762807376,1.1720078216774394
100000,16,0.25,every,1.6697962838979974,0.019384762737517904,0.016209855656438902,100.0,0.43881028113247406,0.35694845062995095,100.0,17258.5542664146,86818.30850070907,835,49.19271492958069,1.8415197469438045,2.011022017287506,1.593588044672151,1.6988998336341075,1.496558282588458,1.3771897782619578
100000,16,0.3,every,1.9149025169358305,0.021466502870585543,0.018571234286274323,100.0,0.5014087169711346,0.3503406490894773,100.0,26464.421721893938,84775.2217200913,1549,49.73439002037048,2.1098063280908095,2.245716054401077,1.8038082412954834,1.9691349123144373,1.7474414413047614,1.6135081242084133
100000,24,0.1,every,1.4080566484404333,0.03439204386685666,0.0044439491889885115,98.14814814814814,0.22675670231249645,0.607499287118061,99.53703703703702,778.6962837921784,94295.20125132252,3,56.43097496032715,1.4068433563146394,1.96527765361738,1.3454658541790478,1.375119290891854,1.2235695810775027,1.1320641545621746
100000,24,0.15,every,1.2460807608122073,0.01645306950403111,0.011123084406524172,100.0,0.30154477690599885,0.3328790495289377,100.0,3073.4116382174616,91561.40856541894,27,56.49974703788757,1.3550609027807998,1.601718730246688,1.224054823977669,1.230104901975724,1.0814900541561947,0.9840551517361682
100000,24,0.2,every,1.434426682251959,0.01739466322276214,0.013704058162768056,100.0,0.3721147266121378,0.3142091257283802,100.0,8180.690504725875,89094.11481278946,243,56.42249798774719,1.600526577723431,1.7859140708108794,1.3846316520624138,1.4334183027290106,1.250809818493013,1.1512596716930052
100000,24,0.25,every,1.6549616824518905,0.019375001328327163,0.01609655073577768,100.0,0.43889383212540195,0.3718100635971781,100.0,17258.5542664146,86818.30850070907,735,56.475696086883545,1.8268343656677288,1.9934522647738935,1.5908163062853518,1.6798061973909595,1.4795180791950988,1.359342881398311
100000,24,0.3,every,1.924243112913033,0.02173929860855796,0.01871661434808046,100.0,0.5018732008205208,0.36567978364284764,100.0,26464.421721893938,84775.2217200913,1303,56.47952604293823,2.110470395480941,2.2623198226706527,1.8111273296561985,1.9806321845954662,1.7629046383162439,1.618004306758695
