Np,L,day,age_group,uniq
100000,16,91,6-11,6064
100000,16,91,12-17,5578
100000,16,91,18-44,5522
100000,16,91,45-64,5788
100000,16,91,65+,6054
100000,16,92,0-5,5906
100000,16,92,6-11,6058
100000,16,92,12-17,5582
100000,16,92,18-44,5491
100000,16,92,45-64,5797
100000,16,92,65+,6063
100000,16,93,0-5,5928
100000,16,93,6-11,6097
100000,16,93,12-17,5617
100000,16,93,18-44,5512
100000,16,93,45-64,5801
100000,16,93,65+,6035
100000,16,94,0-5,5943
100000,16,94,6-11,6164
100000,16,94,12-17,5624
100000,16,94,18-44,5522
100000,16,94,45-64,5836
100000,16,94,65+,6065
100000,16,95,0-5,5965
100000,16,95,6-11,6177
100000,16,95,12-17,5628
100000,16,95,18-44,5483
100000,16,95,45-64,5801
100000,16,95,65+,6067
100000,16,96,0-5,5951
100000,16,96,6-11,6231
100000,16,96,12-17,5634
100000,16,96,18-44,5497
100000,16,96,45-64,5800
100000,16,96,65+,6052
100000,16,97,0-5,5948
100000,16,97,6-11,6283
100000,16,97,12-17,5648
100000,16,97,18-44,5496
100000,16,97,45-64,5765
100000,16,97,65+,6053
100000,16,98,0-5,5955
100000,16,98,6-11,6282
100000,16,98,12-17,5607
100000,16,98,18-44,5487
100000,16,98,45-64,5714
100000,16,98,65+,6070
100000,16,99,0-5,5985
100000,16,99,6-11,6300
100000,16,99,12-17,5614
100000,16,99,18-44,5505
100000,16,99,45-64,5657
100000,16,99,65+,6055
100000,16,100,0-5,5973
100000,16,100,6-11,6335
100000,16,100,12-17,5649
100000,16,100,18-44,5479
100000,16,100,45-64,5662
100000,16,100,65+,6080
100000,16,101,0-5,5982
100000,16,101,6-11,6354
100000,16,101,12-17,5655
100000,16,101,18-44,5461
100000,16,101,45-64,5701
100000,16,101,65+,6082
100000,16,102,0-5,6032
100000,16,102,6-11,6378
100000,16,102,12-17,5686
100000,16,102,18-44,5478
100000,16,102,45-64,5725
100000,16,102,65+,6080
100000,16,103,0-5,6035
100000,16,103,6-11,6404
100000,16,103,12-17,5687
100000,16,103,18-44,5453
100000,16,103,45-64,5735
100000,16,103,65+,6135
100000,16,104,0-5,6084
100000,16,104,6-11,6433
100000,16,104,12-17,5701
100000,16,104,18-44,5496
100000,16,104,45-64,5729
100000,16,104,65+,6107
100000,16,105,0-5,6065
100000,16,105,6-11,6442
100000,16,105,12-17,5726
